species,lon,lat
Brotogeris tirica,-39.5336,-15.1701
Brotogeris tirica,-39.33,-15.18
Brotogeris tirica,-39.4084,-15.2029
Brotogeris tirica,-39.1672,-15.2047
Brotogeris tirica,-39.1024,-15.2107
Brotogeris tirica,-39.4477,-15.2363
Brotogeris tirica,-39.0068,-15.2697
Brotogeris tirica,-39.061,-15.2907
Brotogeris tirica,-39.5011,-15.3325
Brotogeris tirica,-39.2022,-15.3583
Brotogeris tirica,-39.5644,-15.392
Brotogeris tirica,-39.1328,-15.3973
Brotogeris tirica,-39.5285,-15.4215
Brotogeris tirica,-40.522,-15.7881
Brotogeris tirica,-39.0533,-15.8238
Brotogeris tirica,-39.3211,-15.9584
Brotogeris tirica,-39.0169,-15.969
Brotogeris tirica,-39.0179,-16.0708
Brotogeris tirica,-39.2104,-16.094
Brotogeris tirica,-39.3209,-16.1716
Brotogeris tirica,-41.3416,-16.2463
Brotogeris tirica,-39.0242,-16.2779
Brotogeris tirica,-39.1349,-16.3033
Brotogeris tirica,-39.0877,-16.3048
Brotogeris tirica,-40.0103,-16.3085
Brotogeris tirica,-39.9673,-16.3514
Brotogeris tirica,-39.0766,-16.3742
Brotogeris tirica,-39.1733,-16.3873
Brotogeris tirica,-39.162,-16.431
Brotogeris tirica,-39.3222,-16.4328
Brotogeris tirica,-40.0653,-16.4347
Brotogeris tirica,-39.0645,-16.4361
Brotogeris tirica,-39.2508,-16.4363
Brotogeris tirica,-39.341,-16.4838
Brotogeris tirica,-39.0772,-16.4861
Brotogeris tirica,-39.1972,-16.4952
Brotogeris tirica,-39.2636,-16.498
Brotogeris tirica,-39.1259,-16.5441
Brotogeris tirica,-39.0909,-16.587
Brotogeris tirica,-39.0942,-16.6327
Brotogeris tirica,-43.7445,-16.6596
Brotogeris tirica,-39.1243,-16.7269
Brotogeris tirica,-42.999,-16.7897
Brotogeris tirica,-39.4013,-16.8883
Brotogeris tirica,-39.3147,-17.1353
Brotogeris tirica,-44.9419,-17.345
Brotogeris tirica,-39.8619,-18.4
Brotogeris tirica,-48.1641,-18.424
Brotogeris tirica,-39.7322,-18.5933
Brotogeris tirica,-48.2258,-18.7138
Brotogeris tirica,-39.86,-18.72
Brotogeris tirica,-46.8899,-18.8446
Brotogeris tirica,-39.8982,-18.8621
Brotogeris tirica,-48.2583,-18.9112
Brotogeris tirica,-39.998,-18.9917
Brotogeris tirica,-40.0895,-19.0167
Brotogeris tirica,-40.1475,-19.0566
Brotogeris tirica,-39.9765,-19.0577
Brotogeris tirica,-39.9047,-19.0756
Brotogeris tirica,-40.0682,-19.1505
Brotogeris tirica,-40.2,-19.17
Brotogeris tirica,-40.1269,-19.1917
Brotogeris tirica,-39.7128,-19.1979
Brotogeris tirica,-40.0047,-19.2409
Brotogeris tirica,-39.75,-19.3
Brotogeris tirica,-43.6075,-19.3539
Brotogeris tirica,-40.0688,-19.3809
Brotogeris tirica,-40.302,-19.4024
Brotogeris tirica,-43.65,-19.4167
Brotogeris tirica,-40.0781,-19.4355
Brotogeris tirica,-40.2156,-19.4656
Brotogeris tirica,-42.5352,-19.4991
Brotogeris tirica,-40.62,-19.53
Brotogeris tirica,-42.6347,-19.5503
Brotogeris tirica,-39.8202,-19.5752
Brotogeris tirica,-40.6,-19.58
Brotogeris tirica,-42.5817,-19.5813
Brotogeris tirica,-42.5494,-19.6676
Brotogeris tirica,-43.7656,-19.6992
Brotogeris tirica,-42.5042,-19.7023
Brotogeris tirica,-42.1175,-19.7227
Brotogeris tirica,-41.8167,-19.7333
Brotogeris tirica,-42.65,-19.7667
Brotogeris tirica,-40.37,-19.83
Brotogeris tirica,-44.6465,-19.831
Brotogeris tirica,-42.3941,-19.8371
Brotogeris tirica,-44.0056,-19.8553
Brotogeris tirica,-40.8667,-19.8667
Brotogeris tirica,-40.5532,-19.9073
Brotogeris tirica,-40.15,-19.93
Brotogeris tirica,-40.6,-19.936
Brotogeris tirica,-40.7333,-20.0333
Brotogeris tirica,-40.92,-20.08
Brotogeris tirica,-43.4884,-20.0977
Brotogeris tirica,-48.7409,-20.1353
Brotogeris tirica,-50.9291,-20.1938
Brotogeris tirica,-46.4763,-20.2183
Brotogeris tirica,-41.3525,-20.2293
Brotogeris tirica,-46.3709,-20.2338
Brotogeris tirica,-50.9769,-20.2572
Brotogeris tirica,-40.3389,-20.3031
Brotogeris tirica,-44.0177,-20.3156
Brotogeris tirica,-41.274,-20.356
Brotogeris tirica,-41.0192,-20.4003
